term	z	offensive_docs	not_offensive_docs	offensive_rate
da	23.858050307501564	1012	814	0.5542168674698795
dislike	18.93019077173534	354	112	0.759656652360515
dai	14.293983090750547	201	62	0.7642585551330798
mokka	13.586538056104667	180	25	0.8780487804878049
dei	12.818352109757438	172	66	0.7226890756302521
enna	11.237169295647812	354	381	0.4816326530612245
ennada	10.648175621740556	117	43	0.73125
copy	10.147519716557406	103	34	0.7518248175182481
nu	9.88979105872939	460	619	0.4263206672845227
dislikes	9.860012998083818	96	30	0.7619047619047619
amma	9.71294747020393	92	27	0.773109243697479
flop	9.461987034259678	98	8	0.9245283018867925
panni	9.131278289198734	125	85	0.5952380952380952
poi	8.800997647434485	106	65	0.6198830409356725
bigil	8.518400188619127	144	125	0.5353159851301115
ah	8.423539702796287	569	898	0.3878663940013633
kuda	8.23486111236651	115	88	0.5665024630541872
punda	8.145397555700042	87	4	0.9560439560439561
potta	8.10540712988578	64	9	0.8767123287671232
ena	8.035975902662454	126	108	0.5384615384615384
la	7.777293388765152	701	1202	0.36836573830793484
kaithi	7.740574299519325	99	74	0.5722543352601156
ivan	7.705139518749529	63	25	0.7159090909090909
ithu	7.693264730820239	228	284	0.4453125
pasangala	7.641407064849969	65	5	0.9285714285714286
poda	7.617000558628516	73	40	0.6460176991150443
unga	7.482132587537611	122	113	0.5191489361702127
otha	7.457359920857595	53	13	0.803030303030303
idhu	7.39843304653116	148	156	0.4868421052631579
enda	7.32610921780663	51	12	0.8095238095238095
illa	7.142053374976661	276	389	0.4150375939849624
maari	7.136075083735246	137	144	0.4875444839857651
ada	7.133770681197816	61	31	0.6630434782608695
mari	7.094205555046947	148	163	0.4758842443729904
use	7.055011950978113	55	24	0.6962025316455697
haters	7.0359563325341234	57	27	0.6785714285714286
enada	6.95391998302221	46	11	0.8070175438596491
yenda	6.824600721198263	49	19	0.7205882352941176
kevalama	6.817960317732979	44	9	0.8301886792452831
ellam	6.7974259969309605	165	199	0.4532967032967033
potu	6.766230313436811	52	24	0.6842105263157895
beethoven	6.697076996103732	45	15	0.75
oru	6.598076451857828	478	810	0.37111801242236025
unlike	6.471160307875834	44	17	0.7213114754098361
waste	6.4348025836834415	40	6	0.8695652173913043
vachu	6.412533713012736	50	26	0.6578947368421053
ilayaraja	6.4067003685910375	42	15	0.7368421052631579
thu	6.335680860840619	38	8	0.8260869565217391
oda	6.333153386694726	115	125	0.4791666666666667
intha	6.3253528622761594	326	516	0.38717339667458434
antha	6.283299436597402	99	100	0.49748743718592964
ரஜினி	6.247945324264442	44	20	0.6875
sanda	6.198091653806168	37	10	0.7872340425531915
குருமா	6.160241443763473	41	17	0.7068965517241379
andha	6.154168892146781	71	59	0.5461538461538461
kooda	6.119047727686856	74	64	0.5362318840579711
vachi	6.044767945214353	51	32	0.6144578313253012
kollama	6.024787191645298	41	3	0.9318181818181818
konjam	5.9873578514781025	95	99	0.4896907216494845
adei	5.903808775513586	33	7	0.825
anil	5.808491591225871	32	6	0.8421052631578947
music	5.762118251540454	178	250	0.4158878504672897
kola	5.732372199963168	113	134	0.4574898785425101
டேய்	5.717827315026554	40	21	0.6557377049180327
pongada	5.717291044222054	31	7	0.8157894736842105
mavane	5.690879918249046	35	3	0.9210526315789473
ranjith	5.631872142918145	53	40	0.5698924731182796
odi	5.6197712890043094	30	7	0.8108108108108109
pasanga	5.494380976135297	44	29	0.6027397260273972
vida	5.479561471093163	103	122	0.4577777777777778
ku	5.471689536041298	420	746	0.3602058319039451
sonna	5.412120591051598	67	64	0.5114503816793893
ithula	5.356529011855067	45	32	0.5844155844155844
irukan	5.343369534517959	31	13	0.7045454545454546
ithuku	5.28986641613789	35	19	0.6481481481481481
illama	5.271477609987567	40	26	0.6060606060606061
ஏன்டா	5.2557266295739815	27	8	0.7714285714285715
iruken	5.252460626440303	31	14	0.6888888888888889
eduthu	5.2424081494992105	53	45	0.5408163265306123
komali	5.237905475052538	26	5	0.8387096774193549
பண்ணி	5.2182080690996155	30	13	0.6976744186046512
cartoon	5.195382207751422	26	4	0.8666666666666667
jayalalitha	5.1617170298695125	34	19	0.6415094339622641
padam	5.1489176890322	671	1305	0.3395748987854251
ava	5.138222842214613	26	8	0.7647058823529411
iruku	5.122398838336381	340	595	0.36363636363636365
என்னடா	5.099595674882483	35	21	0.625
ana	5.025789879808499	72	78	0.48
