term	tag	train_offensive_docs	train_not_offensive_docs
punda	<LEX_PROFANITY>	87	4
pundai	<LEX_PROFANITY>	14	0
punde	<LEX_PROFANITY>	4	0
otha	<LEX_PROFANITY>	53	13
ommala	<LEX_PROFANITY>	16	1
oombu	<LEX_PROFANITY>	1	0
oombi	<LEX_PROFANITY>	2	0
thevidiya	<LEX_PROFANITY>	40	1
thevdiya	<LEX_PROFANITY>	13	0
thevudiya	<LEX_PROFANITY>	12	0
thevidiyaa	<LEX_PROFANITY>	3	0
mairu	<LEX_PROFANITY>	21	2
mayiru	<LEX_PROFANITY>	19	1
sunni	<LEX_PROFANITY>	23	0
baadu	<LEX_PROFANITY>	11	1
koodhi	<LEX_PROFANITY>	9	0
thayoli	<LEX_PROFANITY>	12	0
kundi	<LEX_PROFANITY>	6	0
soothu	<LEX_PROFANITY>	3	0
poolu	<LEX_PROFANITY>	7	0
poola	<LEX_PROFANITY>	18	6
gommala	<LEX_PROFANITY>	18	5
gomala	<LEX_PROFANITY>	1	0
nakki	<LEX_PROFANITY>	4	0
fuck	<LEX_PROFANITY>	14	4
fucking	<LEX_PROFANITY>	7	2
shit	<LEX_PROFANITY>	11	3
தேவடியா	<LEX_PROFANITY>	1	0
ஓத்த	<LEX_PROFANITY>	1	0
மயிரு	<LEX_PROFANITY>	2	0
புண்டை	<LEX_PROFANITY>	4	0
ஊம்பு	<LEX_PROFANITY>	3	0
loosu	<LEX_STUPID>	30	0
lusu	<LEX_STUPID>	9	1
losu	<LEX_STUPID>	3	1
mental	<LEX_STUPID>	14	3
psycho	<LEX_STUPID>	19	7
லூசு	<LEX_STUPID>	10	2
கூமுட்டை	<LEX_STUPID>	1	0
mokka	<LEX_DEROG>	180	25
mokkaya	<LEX_DEROG>	25	1
kevalam	<LEX_DEROG>	15	0
kevalama	<LEX_DEROG>	44	9
waste	<LEX_DEROG>	40	6
flop	<LEX_DEROG>	98	8
cartoon	<LEX_DEROG>	26	4
komali	<LEX_DEROG>	26	5
moonji	<LEX_DEROG>	19	3
moonja	<LEX_DEROG>	2	0
echa	<LEX_DEROG>	17	1
cheap	<LEX_DEROG>	5	1
fraud	<LEX_DEROG>	10	1
thiruttu	<LEX_DEROG>	6	1
கோமாளி	<LEX_DEROG>	19	5
பொறுக்கி	<LEX_DEROG>	5	0
naai	<LEX_ANIMAL>	13	1
naaye	<LEX_ANIMAL>	3	1
naye	<LEX_ANIMAL>	9	2
eruma	<LEX_ANIMAL>	2	0
நாய்	<LEX_ANIMAL>	19	5
potta	<LEX_GENDER_SLUR>	64	9
pottai	<LEX_GENDER_SLUR>	2	0
vesi	<LEX_GENDER_SLUR>	2	0
பொட்டை	<LEX_GENDER_SLUR>	2	0
sombu	<LEX_GROUP_SLUR>	9	0
sangi	<LEX_GROUP_SLUR>	1	0
pappan	<LEX_GROUP_SLUR>	2	0
சங்கி	<LEX_GROUP_SLUR>	2	1
சொம்பு	<LEX_GROUP_SLUR>	3	0
seruppadi	<LEX_THREAT>	17	5
serupadi	<LEX_THREAT>	21	10
